Domain,Area,Element,Item,Year,Value
"Emissions intensities","India","Emissions (CO2eq)","Cereals excluding rice","2017","39402.8922"
"Emissions intensities","India","Emissions (CO2eq)","Meat, cattle","2017","96191.3122"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh cow","2017","85239.8487"
"Emissions intensities","India","Emissions (CO2eq)","Meat, goat","2017","20872.3538"
"Emissions intensities","India","Emissions (CO2eq)","Meat, buffalo","2017","106831.6637"
"Emissions intensities","India","Emissions (CO2eq)","Milk, whole fresh buffalo","2017","65777.9716"
"Emissions intensities","India","Emissions (CO2eq)","Meat, sheep","2017","10763.1841"
"Emissions intensities","India","Emissions (CO2eq)","Meat, chicken","2017","1582.8579"
"Emissions intensities","India","Emissions (CO2eq)","Eggs, hen, in shell","2017","2417.5697"
"Emissions intensities","India","Emissions (CO2eq)","Meat, pig","2017","1518.7083"
